Box,Greenspace,Impervious_Surface,Lat,Long,Size
a1,90.00,10.00,34.2667,-77.945833333,30.00
a2,70.38,29.62,34.2667,-77.935833333,30.00
a3,63.81,36.19,34.2667,-77.924444444,30.00
a4,71.75,28.25,34.2667,-77.913333333,30.00
a5,70.93,29.07,34.2667,-77.902777778,30.00
a6,77.94,22.06,34.2667,-77.890833333,30.00
a7,74.32,25.68,34.2667,-77.880277778,30.00
a8,72.12,27.88,34.2667,-77.869166667,30.00
a9,78.04,21.96,34.2667,-77.858055556,30.00
a10,72.59,27.41,34.2667,-77.846944444,30.00
a11,65.67,34.33,34.2667,-77.835833333,30.00
a12,63.33,36.67,34.2667,-77.823611111,30.00
a13,71.33,28.67,34.2667,-77.812777778,30.00
a14,75.05,24.95,34.2667,-77.803055556,30.00
b1,68.39,31.61,34.2583,-77.945833333,30.00
b2,71.16,28.84,34.2583,-77.935833333,30.00
b3,69.92,30.08,34.2583,-77.924444444,30.00
b4,75.33,24.67,34.2583,-77.913333333,30.00
b5,73.16,26.84,34.2583,-77.902777778,30.00
b6,71.60,28.40,34.2583,-77.890833333,30.00
b7,73.98,26.02,34.2583,-77.880277778,30.00
b8,70.56,29.44,34.2583,-77.869166667,30.00
b9,73.03,26.97,34.2583,-77.858055556,30.00
b10,53.19,46.81,34.2583,-77.846944444,30.00
b11,56.02,43.98,34.2583,-77.835833333,30.00
b12,66.06,33.94,34.2583,-77.823611111,30.00
b13,69.06,30.94,34.2583,-77.812777778,30.00
b14,64.03,35.97,34.2583,-77.803055556,30.00
c1,56.87,43.13,34.2489,-77.945833333,30.00
c2,70.00,30.00,34.2489,-77.935833333,30.00
c3,65.68,34.32,34.2489,-77.924444444,30.00
c4,66.29,33.71,34.2489,-77.913333333,30.00
c5,66.64,33.36,34.2489,-77.902777778,30.00
c6,68.36,31.64,34.2489,-77.890833333,30.00
c7,55.58,44.42,34.2489,-77.880277778,30.00
c8,48.97,51.03,34.2489,-77.869166667,30.00
c9,58.25,41.75,34.2489,-77.858055556,30.00
c10,69.30,30.70,34.2489,-77.846944444,30.00
c11,63.42,36.58,34.2489,-77.835833333,30.00
c12,70.56,29.44,34.2489,-77.823611111,30.00
c13,81.46,18.54,34.2489,-77.812777778,30.00
c14,76.88,23.12,34.2489,-77.803055556,30.00
